feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
D_4__Marinilabiliaceae	env	Tokyo_HK	envTokyo_HK	3.850232109	0.250289059	0.393665454	7.24E-14	2.93E-11	7.24E-14	2.31E-11	NA	abundance	132	109
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.bacterium	env	Saiki	envSaiki	-3.295963529	0.130607133	0.361728901	1.92E-13	7.41E-11	3.84E-13	1.17E-10	NA	abundance	132	78
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__uncultured.bacterium	env	Saiki	envSaiki	-3.267068555	0.130607133	0.390034217	8.99E-13	3.31E-10	1.8E-12	4.99E-10	NA	abundance	132	94
D_4__Marinilabiliaceae	env	Saiki	envSaiki	2.964948408	0.130607133	0.333870444	1.65E-12	5.82E-10	1.65E-12	4.79E-10	NA	abundance	132	109
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Sva1033	env	Noto	envNoto	-2.051183644	0.55175446	0.290497562	1.73E-12	5.85E-10	3.47E-12	9.21E-10	NA	abundance	132	82
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Saiki	envSaiki	-2.978082763	0.130607133	0.341844813	4.41E-12	1.43E-09	8.82E-12	2.25E-09	NA	abundance	132	67
B_D_0__Bacteria.D_1__Epsilonbacteraeota.D_2__Campylobacteria.D_3__Campylobacterales.D_4__Sulfurovaceae	env	Saiki	envSaiki	3.518159478	0.130607133	0.424171256	5.38E-12	1.68E-09	1.08E-11	2.64E-09	NA	abundance	132	118
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Noto	envNoto	2.504346894	0.55175446	0.254542955	6.8E-11	2.04E-08	6.8E-11	1.61E-08	NA	abundance	132	132
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Chitinophagales.D_4__Saprospiraceae	env	Kitsuki	envKitsuki	3.77455472	0.388324752	0.450983421	9.59E-11	2.77E-08	9.59E-11	2.18E-08	NA	abundance	132	127
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Flavobacteriales.D_4__Flavobacteriaceae	env	Tokyo_HK	envTokyo_HK	2.008631349	0.250289059	0.217478231	1.71E-10	4.77E-08	1.71E-10	3.76E-08	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhodobacterales.D_4__Rhodobacteraceae	env	Tokyo_KC	envTokyo_KC	3.342641257	1.075083241	0.293920887	2.67E-10	7.2E-08	2.67E-10	5.67E-08	NA	abundance	132	132
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Bacteroidetes.BD2.2	env	Tokyo_KC	envTokyo_KC	-1.697013939	1.075083241	0.376350041	3.46E-10	9.03E-08	6.91E-10	1.34E-07	NA	abundance	132	130
D_4__Marinilabiliaceae	env	Hakata	envHakata	2.26317772	-0.547560018	0.393665454	3.77E-10	9.42E-08	3.77E-10	7.75E-08	NA	abundance	132	109
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Syntrophobacterales.D_4__Syntrophobacteraceae	env	Hakata	envHakata	-2.624690793	-0.547560018	0.280673489	3.83E-10	9.42E-08	7.67E-10	1.44E-07	NA	abundance	132	98
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Milano.WF1B.44.D_4__uncultured.bacterium	env	Okayama_G	envOkayama_G	2.334397109	-0.10375483	0.272001217	5.35E-10	1.28E-07	1.07E-09	1.95E-07	NA	abundance	132	38
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Myxococcales.D_4__Sandaracinaceae	env	Saiki	envSaiki	-1.439756837	0.130607133	0.207949664	6.64E-10	1.54E-07	6.64E-10	1.32E-07	NA	abundance	132	132
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__uncultured.__	env	Saiki	envSaiki	-2.998614315	0.130607133	0.392228708	1.06E-09	2.38E-07	2.11E-09	3.55E-07	NA	abundance	132	51
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Thermoanaerobaculia.D_3__Thermoanaerobaculales.D_4__Thermoanaerobaculaceae	env	Tokyo_KC	envTokyo_KC	-0.745770822	1.075083241	0.231493961	1.37E-09	2.99E-07	1.37E-09	2.42E-07	NA	abundance	132	132
D_4__Desulfobulbaceae	env	Saiki	envSaiki	-1.10971392	0.130607133	0.156565354	1.51E-09	3.21E-07	1.51E-09	2.6E-07	NA	abundance	132	132
D_4__Desulfobulbaceae	env	Tokyo_KC	envTokyo_KC	-0.476189586	1.075083241	0.191007941	3.28E-09	6.82E-07	3.28E-09	5.37E-07	NA	abundance	132	132
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Cytophagales.D_4__Cyclobacteriaceae	env	Saiki	envSaiki	-1.782200223	0.130607133	0.282813567	4.5E-09	9.11E-07	4.5E-09	7.17E-07	NA	abundance	132	132
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__uncultured.bacterium	env	Noto	envNoto	-1.980357825	0.55175446	0.3827692	8.07E-09	1.6E-06	8.07E-09	1.26E-06	NA	abundance	132	94
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Bacteroidetes.BD2.2	env	Kitsuki	envKitsuki	-2.009192872	0.388324752	0.35852442	9.5E-09	1.83E-06	1.9E-08	2.63E-06	NA	abundance	132	130
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Flavobacteriales.D_4__Flavobacteriaceae	env	Kitsuki	envKitsuki	1.99669749	0.388324752	0.217478231	1.08E-08	2.04E-06	1.08E-08	1.64E-06	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.sediment.bacterium	env	Hakata	envHakata	-2.697287537	-0.547560018	0.297351403	1.25E-08	2.31E-06	1.25E-08	1.86E-06	NA	abundance	132	54
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfobacterales.D_4__Desulfobacteraceae	env	Kitsuki	envKitsuki	-1.72789823	0.388324752	0.314137834	1.36E-08	2.46E-06	1.36E-08	1.98E-06	NA	abundance	132	132
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Ardenticatenales.D_4__uncultured	env	Saiki	envSaiki	-2.328320665	0.130607133	0.375835501	1.42E-08	2.5E-06	2.84E-08	3.85E-06	NA	abundance	132	93
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.17.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Kitsuki	envKitsuki	-1.516345118	0.388324752	0.277543058	1.71E-08	2.96E-06	1.71E-08	2.43E-06	NA	abundance	132	128
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__uncultured.__	env	Noto	envNoto	-2.325113152	0.55175446	0.413293331	2.31E-08	3.9E-06	4.62E-08	6.01E-06	NA	abundance	132	51
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Sva0485.__	env	Saiki	envSaiki	-1.456804488	0.130607133	0.23545084	2.49E-08	4.11E-06	4.98E-08	6.34E-06	NA	abundance	132	97
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Flavobacteriales.D_4__Flavobacteriaceae	env	Saiki	envSaiki	1.372793635	0.130607133	0.178262516	3.13E-08	4.98E-06	3.13E-08	4.16E-06	NA	abundance	132	132
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Ardenticatenales.D_4__uncultured	env	Noto	envNoto	-2.183351929	0.55175446	0.438025326	3.11E-08	4.98E-06	6.23E-08	7.63E-06	NA	abundance	132	93
B_D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae	env	Noto	envNoto	3.124492886	0.55175446	0.424976423	5.91E-08	9.21E-06	5.91E-08	7.39E-06	NA	abundance	132	101
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Thermoanaerobaculia.D_3__Thermoanaerobaculales.D_4__Thermoanaerobaculaceae	env	Noto	envNoto	-0.728108832	0.55175446	0.200479651	6.67E-08	1.02E-05	6.67E-08	8.02E-06	NA	abundance	132	132
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Tokyo_HK	envTokyo_HK	-2.441225881	0.250289059	0.428898921	6.79E-08	1.02E-05	1.36E-07	1.55E-05	NA	abundance	132	82
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__uncultured.bacterium	env	Tokyo_HK	envTokyo_HK	-2.812058445	0.250289059	0.502867357	7.28E-08	1.07E-05	1.46E-07	1.63E-05	NA	abundance	132	94
B_D_0__Bacteria.D_1__Epsilonbacteraeota.D_2__Campylobacteria.D_3__Campylobacterales.D_4__Sulfurovaceae	env	Hakata	envHakata	2.476770789	-0.547560018	0.51565471	7.5E-08	1.09E-05	1.5E-07	1.65E-05	NA	abundance	132	118
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-1.54644917	0.55175446	0.340163575	9.33E-08	1.33E-05	1.87E-07	2.02E-05	NA	abundance	132	82
B_D_0__Bacteria.D_1__Nitrospirae.D_2__Thermodesulfovibrionia.D_3__uncultured.D_4__uncultured.Nitrospirae.bacterium	env	Saiki	envSaiki	-2.337440335	0.130607133	0.394794523	9.62E-08	1.34E-05	1.92E-07	2.04E-05	NA	abundance	132	71
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Sva0485.D_4__bacterium.enrichment.culture.clone.22.2013.	env	Tokyo_KC	envTokyo_KC	-1.136081999	1.075083241	0.349990748	1.02E-07	1.4E-05	2.04E-07	2.1E-05	NA	abundance	132	106
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Caldilineales.D_4__Caldilineaceae	env	Tokyo_KC	envTokyo_KC	-0.90170175	1.075083241	0.31638046	1.1E-07	1.49E-05	2.2E-07	2.23E-05	NA	abundance	132	128
D_4__Desulfobulbaceae	env	Kitsuki	envKitsuki	-0.969893687	0.388324752	0.191007941	1.19E-07	1.57E-05	1.19E-07	1.4E-05	NA	abundance	132	132
D_4__Unknown_Family	env	Kitsuki	envKitsuki	-1.430430405	0.388324752	0.288089691	1.21E-07	1.58E-05	1.21E-07	1.4E-05	NA	abundance	132	130
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__Microtrichaceae	env	Kitsuki	envKitsuki	2.871582461	0.388324752	0.418178777	1.36E-07	1.75E-05	2.72E-07	2.66E-05	NA	abundance	132	128
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Sva1033	env	Kitsuki	envKitsuki	-2.306351929	0.388324752	0.438585111	1.51E-07	1.91E-05	3.02E-07	2.87E-05	NA	abundance	132	82
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Thermoanaerobaculia.D_3__Thermoanaerobaculales.D_4__Thermoanaerobaculaceae	env	Kitsuki	envKitsuki	-1.127966245	0.388324752	0.231493961	1.95E-07	2.43E-05	1.95E-07	2.04E-05	NA	abundance	132	132
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__PAUC43f.marine.benthic.group.D_3__uncultured.actinobacterium.D_4__uncultured.actinobacterium	env	Hakata	envHakata	-2.435987967	-0.547560018	0.267331518	2.01E-07	2.47E-05	4.02E-07	3.77E-05	NA	abundance	132	36
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Rhizobiaceae	env	Kitsuki	envKitsuki	2.477581143	0.388324752	0.350500923	2.51E-07	3.04E-05	5.02E-07	4.64E-05	NA	abundance	132	124
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Cellvibrionales.D_4__Halieaceae	env	Noto	envNoto	-0.668954204	0.55175446	0.201737751	2.61E-07	3.11E-05	2.61E-07	2.6E-05	NA	abundance	132	131
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.sediment.bacterium	env	Saiki	envSaiki	-2.267015423	0.130607133	0.383095131	2.7E-07	3.17E-05	5.4E-07	4.91E-05	NA	abundance	132	54
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__PeM15.D_4__uncultured.bacterium	env	Hakata	envHakata	-2.462235951	-0.547560018	0.273197566	2.78E-07	3.22E-05	2.78E-07	2.69E-05	NA	abundance	132	33
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__uncultured.bacterium	env	Tokyo_KC	envTokyo_KC	-1.982932883	1.075083241	0.529748953	3.1E-07	3.54E-05	6.2E-07	5.57E-05	NA	abundance	132	94
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Sva0485.D_4__bacterium.enrichment.culture.clone.22.2013.	env	Kitsuki	envKitsuki	-1.792716528	0.388324752	0.378596537	5.9E-07	6.64E-05	1.18E-06	0.000103053	NA	abundance	132	106
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfuromonadales.D_4__Sva1033	env	Okayama_G	envOkayama_G	1.618023904	-0.10375483	0.308622246	6.99E-07	7.76E-05	6.99E-07	6.19E-05	NA	abundance	132	82
B_D_0__Bacteria.D_1__Modulibacteria.D_2__Moduliflexia.D_3__Moduliflexales.D_4__Moduliflexaceae	env	Hakata	envHakata	1.616965463	-0.547560018	0.390170771	7.25E-07	7.94E-05	1.45E-06	0.000121635	NA	abundance	132	84
B_D_0__Bacteria.D_1__Calditrichaeota.D_2__Calditrichia.D_3__Calditrichales.D_4__Calditrichaceae	env	Tokyo_KC	envTokyo_KC	-1.069648885	1.075083241	0.378448614	7.55E-07	8.15E-05	1.51E-06	0.000124961	NA	abundance	132	123
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Methyloligellaceae	env	Noto	envNoto	1.77416387	0.55175446	0.213175784	7.69E-07	8.2E-05	1.54E-06	0.000125727	NA	abundance	132	127
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Kitsuki	envKitsuki	-1.950542275	0.388324752	0.408214031	7.88E-07	8.29E-05	1.58E-06	0.000127206	NA	abundance	132	82
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.__	env	Tokyo_KC	envTokyo_KC	-1.939540387	1.075083241	0.563547548	1.09E-06	0.000113343	2.18E-06	0.000171765	NA	abundance	132	123
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.22.__.__	env	Hakata	envHakata	1.806444958	-0.547560018	0.439722314	1.13E-06	0.000116262	2.27E-06	0.000176272	NA	abundance	132	94
B_D_0__Bacteria.D_1__Actinobacteria.D_2__WCHB1.81.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Hakata	envHakata	-3.286754715	-0.547560018	0.398263746	1.23E-06	0.000124138	1.23E-06	0.000105601	NA	abundance	132	25
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__SBR1031.D_4__uncultured.bacterium	env	Kitsuki	envKitsuki	-2.887009519	0.388324752	0.61277211	1.37E-06	0.000136838	2.74E-06	0.000210158	NA	abundance	132	94
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Acidimicrobiia.D_3__Microtrichales.D_4__uncultured	env	Saiki	envSaiki	-1.856587334	0.130607133	0.371411501	1.42E-06	0.000138414	2.84E-06	0.000215235	NA	abundance	132	116
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Rhodothermia.D_3__Rhodothermales.D_4__Rhodothermaceae	env	Kitsuki	envKitsuki	2.672670646	0.388324752	0.411290859	1.42E-06	0.000138414	1.42E-06	0.000120302	NA	abundance	132	87
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Sva0485.__	env	Tokyo_KC	envTokyo_KC	-0.518774824	1.075083241	0.270116964	1.58E-06	0.000151945	3.15E-06	0.000236308	NA	abundance	132	97
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfobacterales.D_4__Desulfobacteraceae	env	Tokyo_KC	envTokyo_KC	-0.675267028	1.075083241	0.314137834	1.82E-06	0.000173274	1.82E-06	0.000144866	NA	abundance	132	132
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Deltaproteobacteria.D_3__Desulfarculales.D_4__Desulfarculaceae	env	Kitsuki	envKitsuki	-2.443023565	0.388324752	0.535269272	1.99E-06	0.000187722	3.98E-06	0.000295425	NA	abundance	132	97
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Alphaproteobacteria.D_3__Rhizobiales.D_4__Rhizobiaceae	env	Saiki	envSaiki	1.645956408	0.130607133	0.282781107	2.16E-06	0.000201227	4.32E-06	0.000306123	NA	abundance	132	124
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Arenicellales.D_4__Arenicellaceae	env	Hakata	envHakata	1.655545167	-0.547560018	0.429216202	2.24E-06	0.000205818	4.47E-06	0.000313226	NA	abundance	132	109
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Anaerolineales.D_4__Anaerolineaceae	env	Hakata	envHakata	-2.091163052	-0.547560018	0.306570019	4.13E-06	0.000373966	4.13E-06	0.00030095	NA	abundance	132	129
B_D_0__Bacteria.D_1__Gemmatimonadetes.D_2__BD2.11.terrestrial.group.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Hakata	envHakata	-2.394557507	-0.547560018	0.358180289	4.15E-06	0.000373966	4.15E-06	0.00030095	NA	abundance	132	82
B_D_0__Bacteria.D_1__Epsilonbacteraeota.D_2__Campylobacteria.D_3__Campylobacterales.D_4__Sulfurovaceae	env	Tokyo_HK	envTokyo_HK	2.821732039	0.250289059	0.51565471	4.27E-06	0.000375698	8.53E-06	0.000578669	NA	abundance	132	118
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Planctomycetacia.D_3__Pirellulales.D_4__Pirellulaceae	env	Hakata	envHakata	0.684991343	-0.547560018	0.239375933	4.24E-06	0.000375698	4.24E-06	0.000303905	NA	abundance	132	132
D_4__Unknown_Family	dex	non	cndnon	-0.56868782	0.063446432	0.125207667	4.65E-06	0.000405449	9.31E-06	0.000624636	NA	abundance	132	130
B_D_0__Bacteria.D_1__Latescibacteria.__.__.__	env	Hakata	envHakata	1.716459077	-0.547560018	0.455855823	5.23E-06	0.000451238	1.05E-05	0.000695334	NA	abundance	132	92
B_D_0__Bacteria.D_1__Acidobacteria.D_2__ODP1230B23.02.D_3__uncultured.organism.D_4__uncultured.organism	env	Hakata	envHakata	-2.956637004	-0.547560018	0.358288038	5.35E-06	0.000451597	5.35E-06	0.000370798	NA	abundance	132	21
B_D_0__Bacteria.D_1__Chloroflexi.D_2__Anaerolineae.D_3__Caldilineales.D_4__Caldilineaceae	env	Noto	envNoto	-0.810607781	0.55175446	0.269870655	5.34E-06	0.000451597	1.07E-05	0.000701805	NA	abundance	132	128
D_4__Unknown_Family	env	Tokyo_KC	envTokyo_KC	-0.47555638	1.075083241	0.288089691	5.59E-06	0.000466875	1.12E-05	0.000719894	NA	abundance	132	130
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Noto	envNoto	-1.060861176	0.55175446	0.308754099	5.71E-06	0.000471905	1.14E-05	0.0007278	NA	abundance	132	67
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.__	env	Saiki	envSaiki	-1.734054908	0.130607133	0.378156183	6.32E-06	0.000517461	6.32E-06	0.000433444	NA	abundance	132	123
B_D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.17.D_3__uncultured.bacterium.D_4__uncultured.bacterium	env	Tokyo_KC	envTokyo_KC	-0.453034979	1.075083241	0.284888053	6.63E-06	0.000536899	1.33E-05	0.000820326	NA	abundance	132	128
B_D_0__Bacteria.D_1__Planctomycetes.D_2__Planctomycetacia.D_3__Planctomycetales.D_4__Gimesiaceae	env	Saiki	envSaiki	-1.543411235	0.130607133	0.326496205	6.69E-06	0.000537107	1.34E-05	0.000820881	NA	abundance	132	80
B_D_0__Bacteria.D_1__Actinobacteria.D_2__Thermoleophilia.D_3__Solirubrobacterales.D_4__67.14	env	Hakata	envHakata	1.722235907	-0.547560018	0.466182689	6.82E-06	0.000541979	1.36E-05	0.000828561	NA	abundance	132	98
B_D_0__Bacteria.D_1__Latescibacteria.D_2__Latescibacteria.D_3__Latescibacterales.D_4__Latescibacteraceae	env	Hakata	envHakata	1.282651646	-0.547560018	0.375198098	8.57E-06	0.000673808	1.71E-05	0.001014947	NA	abundance	132	93
B_D_0__Archaea.D_1__Nanoarchaeaeota.D_2__Woesearchaeia.__.__	env	Hakata	envHakata	3.072721601	-0.547560018	0.697293836	1.01E-05	0.000788544	2.02E-05	0.001173268	NA	abundance	132	42
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Chromatiales.D_4__Chromatiaceae	env	Hakata	envHakata	1.616423949	-0.547560018	0.461499427	1.11E-05	0.000855831	1.11E-05	0.000719894	NA	abundance	132	123
B_D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Cytophagales.D_4__Cyclobacteriaceae	env	Tokyo_KC	envTokyo_KC	-0.640396544	1.075083241	0.345029317	1.22E-05	0.000935863	1.22E-05	0.000772857	NA	abundance	132	132
B_D_0__Bacteria.D_1__Nitrospirae.D_2__Thermodesulfovibrionia.D_3__uncultured.D_4__uncultured.bacterium	env	Saiki	envSaiki	-5.874831939	0	1.346590529	1.28E-05	0.000972665	1.28E-05	0.000802878	NA	prevalence	132	45
B_D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__B2M28.D_4__uncultured.gamma.proteobacterium	env	Noto	envNoto	-0.571049484	0.55175446	0.224914242	1.36E-05	0.001021729	2.72E-05	0.001550498	NA	abundance	132	101
